OP Uniek Nr Id ,LNO Uniek Nr ,PAP Id,PAP Omschrijving,PAP ACT Code,PAP ACT Omschrijving,PAP PLA Code,PAP PLA Omschrijving,PAP PRD Code,PAP PRD Omschrijving,TYP ERK Erkenning code,TYP ERK omschrijving,TYP ERK Erkenning vorm Omschrijving,TYP ERK Erkenning Vorm Code,PC Postcode ,GEM Naam ,PR Naam ,ERK Nummer ,ERK Begindatum ,Datum vandaag
2282826110,715797345,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,5020.0,Namur,Namen,,2024/03/11 00:00:00,2026/08/24 04:13:33
9005505880,5505879,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,6940.0,Durbuy,Luxemburg,,2023/01/01 00:00:00,2026/08/24 04:13:33
9005304719,5304718,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2390.0,Westmalle,Antwerpen,,2020/11/09 00:00:00,2026/08/24 04:13:33
9005516629,5516628,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,6900.0,Aye,Luxemburg,,2023/07/01 00:00:00,2026/08/24 04:13:33
9005539560,5539559,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2480.0,Dessel,Antwerpen,,2023/11/19 00:00:00,2026/08/24 04:13:33
9003892781,3892780,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2110.0,Wijnegem,Antwerpen,,2008/04/25 00:00:00,2026/08/24 04:13:33
9006526301,6526300,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,4760.0,Büllingen/Bullange,Luik,,2025/06/24 00:00:00,2026/08/24 04:13:33
9004827378,4827377,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9160.0,Lokeren,Oost-Vlaanderen,,2014/01/01 00:00:00,2026/08/24 04:13:33
9006555077,6555076,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1790.0,Affligem,Vlaams Brabant,,2026/04/15 00:00:00,2026/08/24 04:13:33
2375338077,1024581207,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,5150.0,Floreffe,Namen,,2025/07/09 00:00:00,2026/08/24 04:13:33
9005033891,5033890,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,4000.0,Rocourt,Luik,,2017/01/01 00:00:00,2026/08/24 04:13:33
9005120556,5120555,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1000.0,Brussel,Brussels Hoofdstedelijk Gewest,,2017/09/01 00:00:00,2026/08/24 04:13:33
2061891881,648390659,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,7864.0,Lessines,Henegouwen,,2024/09/05 00:00:00,2026/08/24 04:13:33
9004682667,4682666,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2530.0,Boechout,Antwerpen,,2012/03/15 00:00:00,2026/08/24 04:13:33
9003726210,3726209,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,8691.0,Izenberge,West-Vlaanderen,,2007/04/23 00:00:00,2026/08/24 04:13:33
9005565434,5565433,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9850.0,Landegem,Oost-Vlaanderen,,2024/02/29 00:00:00,2026/08/24 04:13:33
9004897882,4897881,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1040.0,Etterbeek,Brussels Hoofdstedelijk Gewest,,2015/05/20 00:00:00,2026/08/24 04:13:33
9005221078,5221077,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,8940.0,Wervik,West-Vlaanderen,,2019/06/01 00:00:00,2026/08/24 04:13:33
9005208555,5208554,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3150.0,Haacht,Vlaams Brabant,,2019/08/01 00:00:00,2026/08/24 04:13:33
9005290287,5191498,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3511.0,Kuringen,Limburg,,2020/09/06 00:00:00,2026/08/24 04:13:33
